user,peak_date,generic_score,hybrid_score,generic_peak_score,hybrid_rank,generic_rank,top_reasons,peak_month,role,functional_unit,department,team,ldap_month
CAH0936,2010-08-18,4.326961312713407,3.5071823111954004,4.326961312713407,1,2,usb_file_count=15 (z=7.59); after_hours_device_count=7 (z=10.00); usb_executable_count=1 (z=6.00),2010-08,ComputerScientist,2 - ResearchAndEngineering,2 - SoftwareManagement,6 - Software,2010-08
BDV0168,2010-08-03,4.3683330484005225,3.175887083043909,4.3683330484005225,2,1,usb_file_count=21 (z=8.58); after_hours_device_count=8 (z=8.69); after_hours_file_count=21 (z=8.58),2010-08,Salesman,5 - SalesAndMarketing,2 - Sales,1 - RegionalSales,2010-07
JRG0207,2011-01-20,4.237444219396477,2.9563564321370768,4.237444219396477,3,3,usb_file_count=10 (z=8.00); after_hours_device_count=7 (z=7.28); after_hours_file_count=10 (z=8.00),2011-01,SecurityGuard,1 - Adminstration,6 - Security,1 - BuildingSecurity,2011-01
KLH0596,2011-02-07,4.1791051061844495,2.915654725244965,4.1791051061844495,4,4,usb_file_count=26 (z=7.60); after_hours_logon_count=1 (z=7.68); after_hours_device_count=9 (z=7.68),2011-02,ProductionLineWorker,3 - Manufacturing,3 - Assembly,3 - AssemblyDept,2011-01
BTL0226,2010-10-08,4.037154034230742,2.816619093649355,4.037154034230742,5,5,usb_file_count=3 (z=10.00); after_hours_file_count=3 (z=10.00); file_count=3 (z=10.00),2010-10,Physicist,2 - ResearchAndEngineering,1 - Research,1 - Lab,2010-10
MAR0955,2011-02-15,3.384001086472271,2.8075092317172015,3.384001086472271,6,21,usb_file_count=24 (z=7.68); job_site_count=1 (z=7.68); after_hours_device_count=5 (z=6.38),2011-02,ProductionLineWorker,3 - Manufacturing,3 - Assembly,6 - AssemblyDept,2011-02
RKD0604,2010-07-15,4.009550685690361,2.797360943504903,4.009550685690361,7,6,usb_file_count=22 (z=7.22); after_hours_device_count=9 (z=7.35); after_hours_file_count=22 (z=7.22),2010-07,Salesman,5 - SalesAndMarketing,2 - Sales,3 - RegionalSales,2010-07
MCF0600,2010-09-24,3.3082657938539306,2.7964645073399517,3.3082657938539306,8,24,usb_file_count=27 (z=7.68); usb_executable_count=1 (z=6.00); after_hours_device_count=8 (z=6.50),2010-09,ProductionLineWorker,3 - Manufacturing,3 - Assembly,3 - AssemblyDept,2010-09
RSC0089,2010-11-20,2.9466951746294447,2.788975064495271,2.9466951746294447,9,37,usb_executable_count=1 (z=7.68); after_hours_file_count=10 (z=10.00); after_hours_device_count=9 (z=7.42),2010-11,ElectricalEngineer,2 - ResearchAndEngineering,3 - Engineering,2 - ElectricalEngineering,2010-11
AHD0848,2011-01-02,3.9627868286383934,2.7647349967244605,3.9627868286383934,10,7,after_hours_device_count=2 (z=10.00); after_hours_http_count=4 (z=10.00); external_attachment_email_count=1 (z=5.39),2011-01,ProductionLineWorker,3 - Manufacturing,3 - Assembly,5 - AssemblyDept,2011-01
