user,peak_date,generic_score,hybrid_score,generic_peak_score,hybrid_rank,generic_rank,top_reasons
CAH0936,2010-08-18,4.326961312713407,3.5071823111954004,4.326961312713407,1,2,usb_file_count=15 (z=7.59); after_hours_device_count=7 (z=10.00); usb_executable_count=1 (z=6.00)
BDV0168,2010-08-03,4.3683330484005225,3.175887083043909,4.3683330484005225,2,1,usb_file_count=21 (z=8.58); after_hours_device_count=8 (z=8.69); after_hours_file_count=21 (z=8.58)
JRG0207,2011-01-20,4.237444219396477,2.9563564321370768,4.237444219396477,3,3,usb_file_count=10 (z=8.00); after_hours_device_count=7 (z=7.28); after_hours_file_count=10 (z=8.00)
KLH0596,2011-02-07,4.1791051061844495,2.915654725244965,4.1791051061844495,4,4,usb_file_count=26 (z=7.60); after_hours_logon_count=1 (z=7.68); after_hours_device_count=9 (z=7.68)
BTL0226,2010-10-08,4.037154034230742,2.816619093649355,4.037154034230742,5,5,usb_file_count=3 (z=10.00); after_hours_file_count=3 (z=10.00); file_count=3 (z=10.00)
MAR0955,2011-02-15,3.384001086472271,2.8075092317172015,3.384001086472271,6,21,usb_file_count=24 (z=7.68); job_site_count=1 (z=7.68); after_hours_device_count=5 (z=6.38)
RKD0604,2010-07-15,4.009550685690361,2.797360943504903,4.009550685690361,7,6,usb_file_count=22 (z=7.22); after_hours_device_count=9 (z=7.35); after_hours_file_count=22 (z=7.22)
MCF0600,2010-09-24,3.3082657938539306,2.7964645073399517,3.3082657938539306,8,24,usb_file_count=27 (z=7.68); usb_executable_count=1 (z=6.00); after_hours_device_count=8 (z=6.50)
RSC0089,2010-11-20,2.9466951746294447,2.788975064495271,2.9466951746294447,9,37,usb_executable_count=1 (z=7.68); after_hours_file_count=10 (z=10.00); after_hours_device_count=9 (z=7.42)
AHD0848,2011-01-02,3.9627868286383934,2.7647349967244605,3.9627868286383934,10,7,after_hours_device_count=2 (z=10.00); after_hours_http_count=4 (z=10.00); external_attachment_email_count=1 (z=5.39)
MAS0025,2010-09-28,3.9447111803482007,2.7521240793126984,3.9447111803482007,11,8,usb_file_count=20 (z=8.26); after_hours_logon_count=1 (z=7.68); after_hours_device_count=4 (z=6.89)
WDD0366,2011-02-28,3.919752496332389,2.7347110439528293,3.919752496332389,12,9,usb_file_count=4 (z=10.00); after_hours_file_count=4 (z=10.00); file_count=4 (z=10.00)
BIH0745,2010-07-02,3.9093194765393506,2.727432192934431,3.9093194765393506,13,10,usb_file_count=13 (z=7.68); after_hours_logon_count=1 (z=7.68); after_hours_device_count=3 (z=7.68)
GHL0460,2010-11-12,3.886217479960831,2.7113145209029055,3.886217479960831,14,11,usb_file_count=19 (z=7.33); after_hours_device_count=6 (z=8.56); after_hours_file_count=19 (z=7.33)
QJR0688,2010-05-30,3.8757803066830916,2.7040327721044823,3.8757803066830916,15,12,after_hours_logon_count=2 (z=10.00); after_hours_device_count=2 (z=10.00); after_hours_file_count=9 (z=10.00)
DCH0843,2011-01-29,3.865706118789761,2.697004268923089,3.865706118789761,16,13,usb_file_count=11 (z=8.30); after_hours_logon_count=1 (z=7.68); after_hours_device_count=5 (z=7.06)
LJR0523,2010-07-29,3.819410783452478,2.664705197757543,3.819410783452478,17,14,usb_file_count=3 (z=6.00); after_hours_logon_count=1 (z=6.00); after_hours_device_count=2 (z=6.00)
TAP0551,2010-11-02,3.6734148977614267,2.656173287435592,3.6734148977614267,18,15,usb_file_count=11 (z=7.96); after_hours_device_count=2 (z=7.04); after_hours_file_count=11 (z=7.96)
BBS0422,2010-11-20,2.872955372388803,2.5962746548200575,2.9714141987522846,19,36,after_hours_device_count=2 (z=10.00); after_hours_file_count=5 (z=10.00); job_site_count=3 (z=7.75)
MPT0376,2010-04-17,3.498278290458355,2.5374163417251645,3.498278290458355,20,17,after_hours_file_count=4 (z=10.00); after_hours_logon_count=2 (z=7.68); after_hours_device_count=1 (z=7.68)
HJB0742,2010-11-16,3.3884688851482316,2.524499377949533,3.3884688851482316,21,19,usb_file_count=3 (z=6.00); after_hours_logon_count=1 (z=6.00); after_hours_device_count=3 (z=6.00)
AJR0932,2010-09-16,3.580323087044935,2.497899828170885,3.580323087044935,22,16,usb_file_count=23 (z=7.58); after_hours_device_count=9 (z=7.68); after_hours_file_count=23 (z=7.58)
MSO0222,2010-12-09,2.7113010833768136,2.481646053512517,2.7113010833768136,23,47,usb_file_count=1 (z=6.00); usb_executable_count=1 (z=6.00); after_hours_device_count=1 (z=6.00)
JLM0364,2011-04-28,2.105478768076783,2.445682861448918,2.105478768076783,24,87,usb_file_count=1 (z=6.00); keylogger_site_count=1 (z=6.00); usb_executable_count=1 (z=6.00)
MYD0978,2010-12-08,3.4108393948764717,2.3796553917742824,3.4108393948764717,25,18,usb_file_count=15 (z=6.00); after_hours_logon_count=1 (z=6.00); after_hours_device_count=4 (z=6.00)
MGS0974,2011-04-30,3.1020193275802583,2.3796123100319937,3.1020193275802583,26,28,usb_file_count=7 (z=4.92); after_hours_device_count=1 (z=6.00); after_hours_file_count=7 (z=6.00)
FTM0406,2010-11-22,3.386770050194613,2.362862825717172,3.386770050194613,27,20,usb_file_count=20 (z=6.00); after_hours_logon_count=1 (z=6.00); after_hours_device_count=8 (z=6.00)
