dataset,scenario,details,user,start,end,answer_event_count,answer_event_types,peak_date,generic_score,hybrid_score,generic_peak_score,hybrid_rank,generic_rank,top_reasons,answer_period_peak_score,answer_period_peak_date,answer_period_top_reasons,answer_period_user_percentile,overall_peak_in_answer_period,peak_days_from_incident_end,ldap_last_present_month,ldap_first_absent_month,absence_month_offset_from_incident_end
4.2,1,r4.2-1-AAM0658.csv,AAM0658,2010-10-23 01:34:19,2010-10-29 05:23:28,10,device:4;http:2;logon:4,2010-10-27,3.243926875568649,2.2632047969083597,3.243926875568649,31,25,usb_file_count=9 (z=7.11); after_hours_file_count=9 (z=7.11); after_hours_logon_count=1 (z=5.39),2.2632047969083597,2010-10-27,usb_file_count=9 (z=7.11); after_hours_file_count=9 (z=7.11); after_hours_logon_count=1 (z=5.39),1.0,True,-2,2010-10,2010-11,1
4.2,1,r4.2-1-AJR0932.csv,AJR0932,2010-09-10 19:12:01,2010-09-18 02:02:51,10,device:4;http:2;logon:4,2010-09-16,3.580323087044935,2.497899828170885,3.580323087044935,22,16,usb_file_count=23 (z=7.58); after_hours_device_count=9 (z=7.68); after_hours_file_count=23 (z=7.58),2.497899828170885,2010-09-16,usb_file_count=23 (z=7.58); after_hours_device_count=9 (z=7.68); after_hours_file_count=23 (z=7.58),1.0,True,-2,2010-09,2010-10,1
4.2,1,r4.2-1-BDV0168.csv,BDV0168,2010-07-30 19:56:44,2010-08-10 05:16:41,15,device:6;http:3;logon:6,2010-08-03,4.3683330484005225,3.175887083043909,4.3683330484005225,2,1,usb_file_count=21 (z=8.58); after_hours_device_count=8 (z=8.69); after_hours_file_count=21 (z=8.58),3.175887083043909,2010-08-03,usb_file_count=21 (z=8.58); after_hours_device_count=8 (z=8.69); after_hours_file_count=21 (z=8.58),1.0,True,-7,2010-07,2010-08,0
4.2,1,r4.2-1-BIH0745.csv,BIH0745,2010-07-13 20:15:23,2010-07-13 21:20:44,5,device:2;http:1;logon:2,2010-07-02,3.9093194765393506,2.727432192934431,3.9093194765393506,13,10,usb_file_count=13 (z=7.68); after_hours_logon_count=1 (z=7.68); after_hours_device_count=3 (z=7.68),0.5858318031305764,2010-07-13,after_hours_logon_count=1 (z=4.36); after_hours_device_count=1 (z=1.94); external_attachment_email_count=2 (z=0.79),0.9707317073170731,False,-11,2010-06,2010-07,0
4.2,1,r4.2-1-BLS0678.csv,BLS0678,2010-09-21 01:16:22,2010-09-30 04:48:19,10,device:4;http:2;logon:4,2010-09-17,3.1696493295367376,2.211383253165166,3.1696493295367376,37,27,usb_file_count=5 (z=6.00); after_hours_logon_count=1 (z=6.00); after_hours_device_count=2 (z=6.00),1.0639640833878412,2010-09-21,after_hours_logon_count=1 (z=7.68); after_hours_device_count=1 (z=4.80); job_site_count=1 (z=2.00),0.9964912280701754,False,-13,2010-09,2010-10,1
4.2,1,r4.2-1-BTL0226.csv,BTL0226,2010-10-06 22:25:52,2010-10-14 06:43:29,15,device:6;http:3;logon:6,2010-10-08,4.037154034230742,2.816619093649355,4.037154034230742,5,5,usb_file_count=3 (z=10.00); after_hours_file_count=3 (z=10.00); file_count=3 (z=10.00),2.816619093649355,2010-10-08,usb_file_count=3 (z=10.00); after_hours_file_count=3 (z=10.00); file_count=3 (z=10.00),1.0,True,-6,2010-10,2010-11,1
4.2,1,r4.2-1-CAH0936.csv,CAH0936,2010-08-11 04:00:08,2010-08-12 23:56:19,10,device:4;http:2;logon:4,2010-08-18,4.326961312713407,3.5071823111954004,4.326961312713407,1,2,usb_file_count=15 (z=7.59); after_hours_device_count=7 (z=10.00); usb_executable_count=1 (z=6.00),2.6687761532938956,2010-08-11,after_hours_logon_count=1 (z=7.68); usb_file_count=4 (z=5.33); after_hours_device_count=1 (z=4.80),0.9958847736625515,False,6,2010-08,2010-09,1
4.2,1,r4.2-1-DCH0843.csv,DCH0843,2011-02-04 07:08:00,2011-02-04 07:36:05,5,device:2;http:1;logon:2,2011-01-29,3.865706118789761,2.697004268923089,3.865706118789761,16,13,usb_file_count=11 (z=8.30); after_hours_logon_count=1 (z=7.68); after_hours_device_count=5 (z=7.06),0.6236995481230493,2011-02-04,leak_site_count=1 (z=6.00); http_domain_count=1 (z=1.63); device_connect_count=1 (z=1.45),0.9759615384615384,False,-6,2011-01,2011-02,0
4.2,1,r4.2-1-EHB0824.csv,EHB0824,2010-07-22 21:48:43,2010-07-29 01:08:41,20,device:8;http:4;logon:8,2010-07-20,3.0362376052494553,2.118305305987992,3.0362376052494553,40,33,usb_file_count=14 (z=6.00); after_hours_logon_count=1 (z=6.00); after_hours_device_count=9 (z=6.00),0.9759792370606322,2010-07-28,after_hours_logon_count=2 (z=7.04); after_hours_device_count=2 (z=3.27); external_email_count=1 (z=2.55),0.995575221238938,False,-9,2010-07,2010-08,1
4.2,1,r4.2-1-EHD0584.csv,EHD0584,2010-10-02 03:46:16,2010-10-08 22:26:26,15,device:6;http:3;logon:6,2010-10-01,3.009174489610817,2.0994240625191747,3.009174489610817,43,35,usb_file_count=7 (z=6.00); after_hours_logon_count=1 (z=6.00); after_hours_device_count=1 (z=6.00),1.741257882976428,2010-10-07,after_hours_logon_count=2 (z=8.64); after_hours_device_count=2 (z=8.64); usb_file_count=1 (z=2.47),0.9966442953020134,False,-7,2010-09,2010-10,0
